P82,2004,Dzulkifli Ismail,PKR,10948 

P83,2008,Fu Ah Kiow,MCA,16572 
P83,2008,Fuziah binti Salleh,PKR,18398  
P83,2004,Datuk Fu Ah Kiow,MCA,21324  
P83,2004,Fuziah Salleh,PKR,12177 

P84,2008,Datuk Abdul Manan Ismail,UMNO,19355  
P84,2008,Mohd Jafri Ab Rashid,PKR,10852 
P84,2004,Datuk Seri Dr Siti Zaharah Sulaiman,UMNO,20474  
P84,2004,Saari Sungib,PKR,7956 

P85,2008,Najib Tun Razak,UMNO,36262  
P85,2008,Khairul Anuar Ahmad Zainudin,PKR,9798 
P85,2004,Datuk Seri Mohd Najib Tun Abdul Razak,UMNO,31956  
P85,2004,Brig Jen (B) Datuk Zakaria Dahlan,PAS,9034 

P86,2008,Ismail Abd Muttalib,UMNO,15868  
P86,2008,Masrudin Tantawi,PAS,9227 
P86,2004,Ismail Abdul Muttalib,UMNO,15725  
P86,2004,Datuk Tuan Ibrahim Tuan Man,PAS,8483 

P87,2008,Ismail Mohamed Said,UMNO,16165  
P87,2008,Kamal Shaari,PAS,10900 
P87,2004,Ismail Mohamed Said,UMNO,16021  
P87,2004,Musaniff Ab Rahman,PAS,8670 

P88,2008,Datuk Saifuddin Abdullah,UMNO,21381  
P88,2008,Ahmad Nizam Hamid,PKR,18940 
P88,2004,Datuk Mohd Sarit Yusoh,UMNO,24633  
P88,2004,Idris Omar,PAS,12026 

P89,2008,Liow Tiong Lai,MCA,25134  
P89,2008,G Ponusamy,PKR,12585 
P89,2004,Liow Tiong Lai,MCA,27144  
P89,2004,Abub Bakar Lebai Sudin,DAP,10305 

P90,2008,Datuk Ismail Sabri Yaakob,UMNO,18051  
P90,2008,Mazlan Aliman,PAS,14230 
P90,2004,Ismail Sabri Yaakob,UMNO,16714  
P90,2004,Dr Abdul Wahab Ismail,PAS,12244 

P91,2008,Datuk Sri Dr Jamaluddin Mohd Jarjis,UMNO,21308  
P91,2008,Mazlan Mohd Yasin,PAS,10629 
P91,2004,Datuk Dr Jamaluddin Mohd Jarjis,UMNO,19359  
P91,2004,Sukri Ahmad,PAS,10009 

P92,2008,Abd Rahman Bakri,UMNO,12055  
P92,2008,Badrul Amin Bahron,PKR,10720 
P92,2004,Datuk Mat Yasir Ikhsan,UMNO,13826  
P92,2004,Badrul Amin Bahron,PKR,8478 

P93,2008,Noriah Kasnon,UMNO,16069  
P93,2008,Dr Osman Sabran,PAS,11060 
P93,2004,Noriah Kasnon,UMNO,15337  
P93,2004,Sallehen Mukhyi,PAS,7988 

P94,2008,Datuk G. Palanivel,MIC,22979 
P94,2008,Zainal Abidin Ahmad,PKR,23177  
P94,2004,Datuk G Palanivel,MIC,27807  
P94,2004,Datuk Ismail Kamus,PAS,13324 

P95,2008,Datuk Noh Omar,UMNO,16073  
P95,2008,Hanipa Maidin,PAS,12253 
P95,2004,Datuk Noh Omar,UMNO,17750  
P95,2004,Abdul Ghani Samsudin,PAS,8742 

P96,2008,Jahaya Ibrahim,UMNO,17934 
P96,2008,Dr. Dzulkefly Ahmad,PAS,18796  
P96,2004,Mohd Daud Taripeh,UMNO,22001  
P96,2004,Raja Kamaruddin Raja Abdul Wahid,PKR,8339 

P97,2008,Lee Li Yew,MCA,27134 
P97,2008,William Leong Jee Keen,PKR,30701  
P97,2008,Koh Swe Yong,PRM,1332
P97,2004,Datuk Chan Kong Choy,MCA,36343  
P97,2004,Koh Swe Yong,PKR,13117 

P98,2008,Said Anuar b  Said Ahmad,UMNO,33467 
P98,2008,Mohamed Azmin Ali,PKR,40334  
P98,2004,Dr Raman Ismail,UMNO,39870  
P98,2004,Dr Mohd Hatta Md Ramli,PAS,26663 

P99,2008,Azman b Wahid,UMNO,23319 
P99,2008,Zuraida Kamaruddin,PKR,26995  
P99,2004,Dr Rozaidah Talib,UMNO,33214  
P99,2004,Dr A Xavier Jayakumar,PKR,13482 

P100,2008,Dato Ong Tee Keat,MCA,25236  
P100,2008,Syed Shahir Syed Mohamud,PKR,22275 
P100,2004,Datuk Ong Tee Keat,MCA,26721  
P100,2004,Iskandar Abdul Samad,PAS,12609 

P101,2008,Dato Markiman Kobiran,UMNO,34379 
P101,2008,Dr. Che Rosli Che Mat,PAS,36124  
P101,2004,Markiman Kobiran,UMNO,40937  
P101,2004,Datuk Yeop Adlan Che Rose,PAS,18160 

P102,2008,Dato' Hoh Hee Lee,MCA,26419 
P102,2008,Teo Nie Ching,DAP,47444  
P102,2004,Datuk Yap Pian Hon,MCA,34495  
P102,2004,Wong Kok Yew,DAP,23215 

P103,2008,Lau Yeng Peng,GERAKAN,22486 
P103,2008,Gobind Singh Deo,DAP,35079  
P103,2004,Lau Yeng Peng,GERAKAN,21291  
P103,2004,Dr Azmi Jamion @ Jemingon,PAS,9409 
P103,2004,Wong Choong Yun,DAP,9185

P104,2008,Dato Lee Hwa Beng,MCA,25267 
P104,2008,Gwo-Burne Loh,PKR,30298  
P104,2008,Billi Lim Peng Soon,IND,1895
P104,2004,Loh Seng Kok,MCA,35846  
P104,2004,Syed Shahir Syed Mohamed,PKR,14275 

P105,2008,Datuk Donald Lim Siang Chai,MCA,22892 
P105,2008,Hee Loy Sian,PKR,28598  
P105,2004,Datuk Donald Lim Siang Chai,MCA,35054  
P105,2004,R Sivarasa,PKR,13638 

P106,2008,Datin Paduka Chew Mei Fun,MCA,17879 
P106,2008,Tony Pua Kiam Wee,DAP,37851  
P106,2004,Chew Mei Fun,MCA,32422  
P106,2004,Ronnie Liu Tian Khiew,DAP,19379 

